City,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Climate Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index
"Aberdeen, SD",?,?,30.32,38.89,30.59,?,2.07,0.00,68.33
"Adelanto, CA",?,?,60.29,19.44,66.22,?,?,40.00,10.34
"Adrian, MI",?,?,89.71,66.67,62.13,?,1.59,20.00,41.67
"Akron, OH",?,?,43.29,69.03,70.11,?,2.36,28.08,55.68
"Alameda, CA",?,?,75.25,100.00,96.40,?,?,46.67,43.97
"Albany, NY",183.91,126.71,55.36,69.48,60.22,74.23,4.04,24.13,28.18
"Albany, OR",?,?,72.06,61.11,87.73,?,?,75.00,24.14
"Albuquerque, NM",161.87,133.63,28.35,62.39,67.06,68.11,3.66,33.17,39.01
"Alexandria, VA",?,?,44.78,69.44,81.12,?,2.60,38.19,25.98
"Aliso Viejo, CA",?,?,57.84,90.28,96.82,?,?,55.00,25.86
"Allen, TX",?,?,89.71,84.72,81.50,?,?,30.00,31.03
"Allentown, PA",?,?,33.65,58.68,72.51,?,3.11,15.33,46.13
"Alpharetta, GA",?,?,89.75,78.70,87.00,?,2.11,48.62,31.03
"Amarillo, TX",?,?,74.69,52.96,69.34,?,2.01,17.50,57.40
"Ames, IA",?,?,89.92,63.89,54.01,?,3.07,13.20,41.67
"Amherst, MA",?,?,75.00,91.67,59.27,?,?,20.00,27.59
"Anaheim, CA",?,?,46.82,74.07,95.41,?,7.51,41.89,48.68
"Anchorage, AK",171.70,123.87,37.77,61.91,41.61,86.61,2.87,26.75,15.69
"Anchorage, AK",171.70,123.87,37.77,61.91,41.61,86.61,2.87,26.75,15.69
"Ann Arbor, MI",?,?,76.86,78.69,56.80,?,3.11,27.80,29.61
"Annapolis, MD",?,?,76.47,87.22,83.70,?,?,29.11,27.50
"Antioch, CA",?,?,49.02,86.11,93.22,?,?,10.00,108.62
"Apple Valley, CA",?,?,71.57,54.17,67.62,?,?,15.00,3.45
"Appleton, WI",?,?,65.37,71.94,49.42,?,2.61,26.67,15.63
"Arlington, TX",?,?,51.21,75.93,85.14,?,2.42,33.22,31.32
"Arlington, VA",?,?,77.62,82.03,81.62,?,2.90,41.89,16.35
"Ashburn, VA",?,?,72.23,63.89,79.24,?,?,46.33,35.63
"Asheville, NC",177.77,96.68,56.70,67.27,80.63,75.62,5.18,28.48,24.08
"Athens, GA",?,?,48.39,64.81,84.85,?,3.93,38.33,14.99
