State,Predicted 2022,Actual 2022
Alabama,27.604999999999905,28.8
Alaska,31.854999999999905,30.6
Arizona,32.14999999999998,33.0
Arkansas,25.267499999999927,25.4
California,36.377500000000055,37.0
Colorado,44.507499999999936,45.9
Connecticut,42.032499999999914,41.9
Delaware,34.86000000000013,36.5
District of Columbia,64.36000000000013,65.4
Florida,32.70249999999987,34.3
Georgia,34.14749999999981,34.7
Hawaii,35.0625,35.4
Idaho,30.139999999999873,32.3
Illinois,37.487499999999955,37.7
Indiana,28.854999999999905,29.6
Iowa,30.687500000000114,32.3
Kansas,35.569999999999936,35.6
Kentucky,26.930000000000064,27.9
Louisiana,26.475000000000023,27.1
Maine,34.77749999999992,36.1
Maryland,42.8125,43.8
Massachusetts,46.91750000000002,46.6
Michigan,31.815000000000055,32.1
Minnesota,38.815000000000055,39.1
Mississippi,24.279999999999973,24.8
Missouri,31.82249999999999,32.2
Montana,34.66750000000002,34.6
Nebraska,34.27999999999997,34.7
Nevada,27.092499999999973,27.0
New Hampshire,39.799999999999955,41.3
New Jersey,43.17750000000001,43.5
New Mexico,29.36749999999995,30.5
New York,39.527500000000146,40.0
North Carolina,34.684999999999945,35.9
North Dakota,31.91249999999991,31.8
Ohio,30.829999999999927,32.0
Oklahoma,27.389999999999986,28.5
Oregon,36.492499999999836,36.3
Pennsylvania,34.41000000000008,35.1
Rhode Island,36.6875,39.6
South Carolina,31.272500000000036,32.6
South Dakota ,30.620000000000005,31.6
Tennessee,30.420000000000073,31.1
Texas,32.799999999999955,33.9
Utah,36.89499999999998,37.9
Vermont,42.054999999999836,44.2
Virginia,41.87999999999988,42.2
Washington,38.78250000000003,39.5
West Virginia,23.23249999999996,24.8
Wisconsin,32.52249999999992,33.2
Wyoming,29.522500000000036,29.6
