City,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Climate Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Composite Index
"Aberdeen, SD",173.32,125.585,30.32,38.89,30.59,74.45500000000001,2.07,0.0,68.33,0.5153748441899593
"Adelanto, CA",173.32,125.585,60.29,19.44,66.22,74.45500000000001,2.88,40.0,10.34,0.5728096368268784
"Adrian, MI",173.32,125.585,89.71,66.67,62.13,74.45500000000001,1.59,20.0,41.67,0.6891460376639363
"Akron, OH",173.32,125.585,43.29,69.03,70.11,74.45500000000001,2.36,28.08,55.68,0.5895001245635116
"Alameda, CA",173.32,125.585,75.25,100.0,96.4,74.45500000000001,2.88,46.67,43.97,0.6909680798538077
"Albany, NY",183.91,126.71,55.36,69.48,60.22,74.23,4.04,24.13,28.18,0.6200133708975396
"Albany, OR",173.32,125.585,72.06,61.11,87.73,74.45500000000001,2.88,75.0,24.14,0.5992499395405759
"Albuquerque, NM",161.87,133.63,28.35,62.39,67.06,68.11,3.66,33.17,39.01,0.5943163641875238
"Alexandria, VA",173.32,125.585,44.78,69.44,81.12,74.45500000000001,2.6,38.19,25.98,0.6207054680497625
"Aliso Viejo, CA",173.32,125.585,57.84,90.28,96.82,74.45500000000001,2.88,55.0,25.86,0.6576581744230966
"Allen, TX",173.32,125.585,89.71,84.72,81.5,74.45500000000001,2.88,30.0,31.03,0.7181667924724132
"Allentown, PA",173.32,125.585,33.65,58.68,72.51,74.45500000000001,3.11,15.33,46.13,0.5871655702109762
"Alpharetta, GA",173.32,125.585,89.75,78.7,87.0,74.45500000000001,2.11,48.62,31.03,0.6946463171742838
"Amarillo, TX",173.32,125.585,74.69,52.96,69.34,74.45500000000001,2.01,17.5,57.4,0.6372033856268562
"Ames, IA",173.32,125.585,89.92,63.89,54.01,74.45500000000001,3.07,13.2,41.67,0.6705386774803932
"Amherst, MA",173.32,125.585,75.0,91.67,59.27,74.45500000000001,2.88,20.0,27.59,0.6968842106942792
"Anaheim, CA",173.32,125.585,46.82,74.07,95.41,74.45500000000001,7.51,41.89,48.68,0.5606058537560167
"Anchorage, AK",171.70,123.87,37.77,61.91,41.61,86.61,2.87,26.75,15.69,0.5205236655104136
"Anchorage, AK",171.70,123.87,37.77,61.91,41.61,86.61,2.87,26.75,15.69,0.5205236655104136
"Ann Arbor, MI",173.32,125.585,76.86,78.69,56.8,74.45500000000001,3.11,27.8,29.61,0.661733646669772
"Annapolis, MD",173.32,125.585,76.47,87.22,83.7,74.45500000000001,2.88,29.11,27.5,0.7085101915353934
"Antioch, CA",173.32,125.585,49.02,86.11,93.22,74.45500000000001,2.88,10.0,108.62,0.6132971265434581
"Apple Valley, CA",173.32,125.585,71.57,54.17,67.62,74.45500000000001,2.88,15.0,3.45,0.6881973457201895
"Appleton, WI",173.32,125.585,65.37,71.94,49.42,74.45500000000001,2.61,26.67,15.63,0.6487990688941692
"Arlington, TX",173.32,125.585,51.21,75.93,85.14,74.45500000000001,2.42,33.22,31.32,0.6487343167368187
"Arlington, VA",173.32,125.585,77.62,82.03,81.62,74.45500000000001,2.9,41.89,16.35,0.6922184228347676
"Ashburn, VA",173.32,125.585,72.23,63.89,79.24,74.45500000000001,2.88,46.33,35.63,0.6272543342343326
"Asheville, NC",177.77,96.68,56.7,67.27,80.63,75.62,5.18,28.48,24.08,0.5603364056751413
"Athens, GA",173.32,125.585,48.39,64.81,84.85,74.45500000000001,3.93,38.33,14.99,0.622527407336064
"Atlanta, GA",171.63,149.25,35.78,66.14,89.73,82.69,2.98,41.89,45.19,0.5925802695914459
"Atlantic City, NJ",173.32,125.585,34.8,41.67,74.65,74.45500000000001,2.88,13.5,31.61,0.591475606242466
"Augusta, GA",173.32,125.585,53.18,70.0,89.28,74.45500000000001,2.53,29.8,29.96,0.6552043838731092
"Aurora, CO",173.32,125.585,39.09,75.0,55.77,74.45500000000001,3.72,18.0,47.36,0.5840856736227551
"Aurora, IL",173.32,125.585,61.91,73.15,57.26,74.45500000000001,2.88,40.25,32.41,0.6095928486255164
"Austin, TX",177.60,139.74,58.21,66.25,82.08,72.96,4.7,38.79,44.8,0.6293002039888291
"Bakersfield, CA",173.32,125.585,41.79,54.42,77.63,74.45500000000001,2.77,18.62,77.93,0.5626418720733
"Baltimore, MD",162.02,131.76,24.93,74.38,81.24,74.68,2.1,31.47,52.01,0.5942715841414518
"Bangor, ME",173.32,125.585,57.35,84.26,77.51,74.45500000000001,2.31,22.0,13.79,0.7002665652387597
"Baton Rouge, LA",159.86,111.79,29.19,66.09,86.44,70.0,2.47,33.0,43.09,0.5794098623893982
"Beaumont, TX",173.32,125.585,39.19,61.11,88.05,74.45500000000001,1.65,20.0,55.46,0.6163050017134002
"Beaverton, OR",173.32,125.585,69.24,63.89,85.58,74.45500000000001,2.88,31.33,19.54,0.6738226778533873
"Bellevue, WA",173.32,125.585,71.09,80.56,91.73,74.45500000000001,4.33,28.6,12.93,0.7024109258395821
"Bellingham, WA",173.32,125.585,66.13,51.39,86.4,74.45500000000001,4.49,19.0,13.61,0.6626782776850406
"Bend, OR",173.32,125.585,68.79,67.61,60.45,74.45500000000001,4.05,21.0,3.45,0.6695718238796962
"Bentonville, AR",173.32,125.585,78.47,67.22,79.84,74.45500000000001,2.88,22.83,7.47,0.7139854622353513
"Berkeley, CA",173.32,125.585,39.94,80.28,96.4,74.45500000000001,2.88,36.6,27.72,0.6437206003758915
"Beverly Hills, CA",173.32,125.585,68.53,82.87,77.51,74.45500000000001,2.88,10.0,0.0,0.7458537898314488
"Billings, MT",173.32,125.585,52.97,66.67,55.68,74.45500000000001,2.82,15.75,33.74,0.6246959918235215
"Binghamton, NY",173.32,125.585,44.55,68.46,60.89,74.45500000000001,1.7,13.0,41.72,0.6279322048805097
"Birmingham, AL",173.32,125.585,39.38,67.49,88.16,74.45500000000001,3.66,25.15,37.57,0.614721719851597
"Bismarck, ND",173.32,125.585,75.39,75.0,31.1,74.45500000000001,2.66,5.67,24.19,0.6708339107668276
"Blacksburg, VA",173.32,125.585,90.44,66.67,72.51,74.45500000000001,2.71,13.0,12.07,0.7363726304145908
"Bloomington, IL",173.32,125.585,42.28,82.41,66.11,74.45500000000001,2.88,15.5,12.07,0.6659781034047776
